Content,Label
Ta rozmowa pozwoli Ci zrozumiem to co i dlaczego dzieje się teraz w Ameryce oraz co może się w niej zdarzyć już niedługo.  Wsteczne odliczanie - 10. 9. 8. go! | Tomasz Lis 1na1 Andrzej Lubowski  przez,Lis
Dwaj najlepsi kandydaci zwykle rywalizują ze sobą dopiero w drugiej turze. U nas dojdzie do tego już na etapie prawyborów. I Ok.,Lis
Holownia zrobił ze swej partii swoj sztab wyborczy. a teraz mówi. że nie chce być kandydatem partii. Teraz to i tak już na to samo wychodzi.,Lis
60 procent młodych Amerykanów chce głosować na Kamalę. Ale w Ameryce. jak w Polsce. o wyniku. decydują raczej starsi wyborcy.,Lis
Trzeciodrogowcy czując nieuchronną klęske Holowni już sugerują możliwość złamania umowy koalicyjnej. która w połowie kadencji karze mu oddać stanowisko Czarzastemu. Ogonek chce machać psem.,Lis
Wybitni ludzie. Miałeś szczęście,Lis
CNN ma zwolnić setki ludzi. w tym największe gwiazdy. Ta fala niedługo dotrze zapewne do Poldki.JUST IN: CNN will be firing hundreds of employees including some of their top stars according to Puck News.  The news comes as CNN's Chris Wallace says he is not returning after his contract expires.  In the next few months,Lis
Jakkolwiek widzę możliwe fatalne skutki wygranej Trumpa. to zgadzam się co do wymienionych poniżej pozytywów.Wokeism is dead.  Identity politics is dead.  Virtue-signalling is dead.  Trump’s massive win was a total repudiation of all the far-left’s ‘progressive’ (but actually regressive) crap.  Common sense will now return to a world that had gone nuts. and thank god for that.,Lis
Europoseł Halicki zszedł kompletnie na psy. 😉🐶❤️Przed nami intensywny tydzień w Brukseli! Dlatego przed wylotem. chwila dla moich dogowych dziewczyn 🐶,Lis
Wygrał - Macron. Tylko najpierw dwie główne partie de facto się rozpadły.,Lis
Dziś finał meczu. czas na komentarz o tym jak wyglądał i jakiego  rezultatu  można się spodziewać. Kto wygra prawybory? | Tomasz Lis LIVE! 21.11.2024  przez,Lis
Ten gość był śmieszny. teraz jest żałosny..@szymon_holownia: Jeśli wybory prezydenckie wygra kandydat #KO w 2027 roku wygra @pisorgpl    Kliknij w zdjęcie. by przeczytać więcej🔽  https://rp.pl/polityka/art41486741-szymon-holownia-jesli-wybory-prezydenckie-wygra-kandydat-ko-w-2027-r-wygra-pis…,Lis
Kamala. jeśli chce wygrać. w ostatnich dwóch tygodniach będzie musiała pokazać niesamowicie mocny finisz. Na razie jest trochę z tyłu.,Lis
U nas prawybory prezydenckie. w Ameryce 61 rocznica zamordowania prezydenta.22 November 1963. 11:38 AM. President John F Kennedy and his wife. Jackie. arrived at Love Field Airport in Dallas. Texas. from Fort Worth. where they had hosted a breakfast fund raising event at the Fort Worth Chamber of Commerce.,Lis
Niesamowite jest to zdjęcie. szczególnie dla warszawiaków. którzy tę figurę Chrystusa widzą regularnie.🇵🇱Nadzieja... Figura Chrystusa przed kościołem św. Krzyża przy Krakowskim Przedmieściu w czasie Powstania Warszawskiego 1944.  Fot. Sylwester Kris Braun/Muzeum Warszawy,Lis
Kosiniak nie chce Trzaskowskiego. Holownia nie chce Trzaskowskiego. Konfederacja nie chce Trzaskowskiego i PiS nie chce Trzaskowskiego. Sytuacja staje się bardzo klarowna .  Spisek prezydencki | TOMASZ LIS KOMENTARZ 28.10.2024  przez,Lis
Mim kieruje jego ego. To jeszcze gorsze.,Lis
Red is bad. but flight was good. Patrioci za kradzioną kasę.,Lis
Mój tekst o prezydenturze w Polsce. Tomasz Lis o wyborach prezydenckich: Świat pozorów pod żyrandolem |,Lis
Popieram sport i pracę nad kondycją. ale akurat w tej zabawie nie idzie o podrzucenie sztangi. To potrafi każdy kark. co nie czyni go wszelako kandydatem na prezydenta.,Lis
To samokrytyka?,Lis
Na razie wygląda to tak. że zwolennicy Sikorskiego przekonują. że jest on twardzielem. a Trzaskowski i jego ludzie. że prezydent stolicy jest równym gościem i swojakiem.,Lis
To jest to.The New Yorker cover this week.,Lis
Gość kompletnie odfrunął.,Lis
Duda jak Obama to już wyższa forma absurdu. chyba że to miało być szyderstwo. I raczej mendor.,Lis
Szymon i po co Cito? | Tomasz Lis LIVE! 14.11.2024,Lis
Holownia nawet pogratulować nie umie. to co się dziwić. że nie umiał poprzeć. Ugina się pod ciężarem własnego ego.,Lis
Oczywiście nie. Ale widzę też pozytywne aspekty jego zwycięstwa.,Lis
Dziad w fatalnej formie. Ten bełkot już nawet nie irytuje. ale budzi tylko współczucie. Płyta dokumentnie zgrana.Obłąkany. na tle rewelacyjnego drugiego planu. Serce się raduje 🤡,Lis
Polscy putiniści z PiS i Konfederacji najchętniej pełzaliby teraz przed kandydatem swojego Putina.,Lis
Prawda. so what?,Lis
Na szczęście są tacy. którzy demograficzne problemy kraju biorą poważnie 😉😂,Lis
A narodowy cymbał jedzie.Wszystko zaczęło się de facto w 2015 r.. kiedy ci. co przegrali wybory parlamentarne. uznali. że w Polsce nie ma demokracji. bo przegrali wybory. To ich tak kompletnie skonsternowało. że zaczęli na cały świat głosić. że w Polsce nastąpił koniec demokracji. To oczywiste kłamstwo i,Lis
W jednym dzisiejszym ogólnokrajowym sondażu- Harris plus 4. w drugim Trump plus 3.🤷‍♂️😉Two new national polls out this morning  Morning Consult (no change vs. last poll)  🔵 Harris 50% (+4%)  🔴 Trump 46%  Reuters/Ipsos (no change vs. last poll)  🔵 Harris 48% (+3%) 🔴 Trump 45%,Lis
Jeśli to od początku nie był wymysł autora tekstu,Lis

Najnowszy dowcip: gdzie jest granica głupoty? Tam gdzie granica z Meksykiem i Kanadą.,Lis
Mam wrażenie. że jestem jedną z niewielu osób. które nie mają faworyta w wyścigu o tytuł kandydata KO w wyborach prezydenckich. Ale jak wszyscy mam zdanie o tym wyścigu. Kto kandydatem KO? | TOMASZ LIS KOMENTARZ 10.11.2024  przez,Lis
Wybory mogą być niepowtarzalną  szansą żeby  pokazać bufonowi Holowni właściwe miejsce w szeregu,Lis
God bless America. 💪🇺🇸🗽,Lis
Chcislem się chyba odmłodzić. Oczywiście 42 lata,Lis
Rafał to nie Bronisław. ale wybory prezydenckie’2015 jako ważna przestroga - Ok. Przed przekroczeniem linii mety zawsze można przegrać.,Lis
Nie mogę się powstrzymać: a nie mówiłem? Komuniści i faszyści Razem.Zandberg znalazł już sobie nowych koalicjantów...,Lis
Już wiadomo co klawisz powie Macierewiczowi. gdy ten będzie wchodził do celi: zmieścisz się. śmiało.,Lis
Istotne.1️⃣ Prezydent @trzaskowski_ spotkał się z wiceszefem frakcji CDU/CSU w Bundestagu (jedno z setek spotkań. jakie odbywa prezydent stolicy). co ekspert od lotnictwa @MacVVilk skomentował zdjęciem masztu na Rondzie Radosława. na którym chwilowo nie ma polskiej flagi.,Lis
Dobre przynajmniej chwilowo sondaże są Ok. ale pytanie Jak ostatecznie pokonać PiS jest aktualne |  TOMASZ LIS KOMENTARZ 30.10.2024  przez,Lis
Pierwsze doniesienia z Ameryki zdają się świadczyć o tym. że Amerykanie odrobili polską lekcję i jak my ruszyli bronić demokracji przed faszystami. ✌️🇺🇸🗽,Lis
Kampania miała być rycerska. a stała się toksyczna i wyniszczająca. Czym prędzej to się skończy. tym lepiej dla KO i jej kandydata.,Lis
Teoretycznie dobrze brzmiąca propozycja wspólnotowego kandydata koalicji. to próba osłabienia pozycji KO i Tuska. Bo Kosiniak i Holownia chcą sami wybrać kandydata KO. a wspólnotowego kandydata chcą pod warunkiem. że nie będzie to Trzaskowski. kandydat Tuska. KO i lider sondaży.,Lis
Doradca Putina Nikolaj Patruszew: by zostać prezydentem Trump musiał polegać na pewnych siłach. wobec których zaciągnął zobowiązania. Teraz będzie musiał je wypelnic.Alles klar. jak mówią Niemcy.,Lis
Medialni pomagierzy Kaczyńskiego i Macierewicza mówią. że nie wiedzą co się stało w Smoleńsku. Wiedzą doskonale. pomagają tylko partii ufundowanej na kłamstwie kłamstwo podtrzymać. | TOMASZ LIS KOMENTARZ 24.10.2024  przez,Lis
Wczorajsza kolejka  na Mount Everest. Teraz to głównie turystyka.,Lis
Holownia nawet w 3 Drodze jest kandydatem drugiego. a zaraz może się okazać. jak zgłosi się Kosiniak. że trzeciego wyboru. Nie być popieranym nawet przez własne ugrupowanie. to rzeczywiście jest kandydat tak niezależny jakiego jeszcze nie było.,Lis
Brawo. 💪✌️👠🎯,Lis
Holownia tez mówił( i mówi). że w drugiej turze by wygrał.,Lis
Jednej listy nie chcieli. bo im nie pasowało. teraz wszyscy mają się zgodzić na jednego kandydata. najlepiej ich. bo tak im pasuje. Sorry. Nie to nie,Lis
Future.,Lis
To jest tylko minuta jednego z bardziej przytomnych teraz ludzi Zachodu. Warto.Wow.   Douglas Murray. A single minute.   Give yourself a single minute to listen to this.  This man is something else.,Lis
Kamala była bardzo dobrą kandydatką. tak jak Hillary byłaby świetnym prezydentem. Demokraci popełnieją jednak stałe ten sam błąd. Chcą zaprowadzić ludzi do postępowo- progresywnego raju. zamiast przekonać wyborców. że mają pomysł co zrobić. by ludziom żyło się dobrze już tu i,Lis
Nawet PiS-owcy wstydzą się PiS-u. To pewien postęp.,Lis
Tu z kolei zdecydowane prowadzenie Kamali. Dokładnie za 2 tygodnie zamiast sondaży i spekulacji będą fakty.,Lis
Jak widać kibicowskie antagonizmy mają niewiele wspólnego z relacjami między zawodniczkami. Nawet jeśli Iga i Aryna nie są wielkimi przyjaciółkami. to się szanują i lubią. Bo cóż znaczą  Twoje wygrane z największą rywalką jeśli ona nie zasługiwałaby na szacunek?I tak się Iga i Aryna zabawiły... Nagrały sobie wspólnego TikTok'a. jak komunikuje Tennis Channel.  #WTAFinals | #WTAFinalsRiyadh | #czasnatenis,Lis
Dziś psychoprawicy nie spodoba się wygląd tramwaju do Wilanowa. dźwięk tramwaju czy trasa?😂😂,Lis
Great News for Hamas,Lis
Ciekawe czy Putinowi też na Polaków donoszą?,Lis
Holownia jest w pełni niezależny od partii. której jest szefem. Kiedyś to się nazywało schizofrenia.,Lis
Lewandowski. 💪🇵🇱,Lis
W CBA i w prokuraturze ciągłość- dalej radzą sobie wyłącznie z ludźmi dawnej opozycji. Poprzedniej władzy na razie raczej nie ruszają.,Lis
Kamala po chwilowym kryzysie znowu łapie tlen. Teraz. gdy zostało kilka dni. jak mówią sportowcy. trzeba jechać z wątroby.Kamala Harris has just jumped 2 points in the ABC/Ipsos National Poll.  She's gaining the momentum just in time for Election day.  This is hard to do. but she appears to be doing it.,Lis
Ktoś może powiedzieć. że Adam histeryzuje i przesadza. Ale może być i tak. że nie przesadza. ale po prostu lepiej widzi i przewiduje.,Lis
Sekretarz obrony 🙈🙉🙊Trump’s nominee for Secretary of Defense. Pete Hegseth. dismisses the danger of Putin invading other Eastern European countries if he isn't stopped in Ukraine:   “It feels like Putin’s give me my shit back war…We used to have the Soviet Union. and Ukraine was part of it. and I,Lis
Prawda. ale przez 250 lat. a przynajmniej 100 wszystko się zmieniło.,Lis
A ja wolę MSN niż PiS- guście.,Lis
Ciekawe na przyjazd ilu Ukraińców musimy się przygotować gdy już Trump sprzeda Ukrainę Putinowi.,Lis
Wszystkim. którzy. jak ja. popierają niebieskie. czyli Kamalę. na dobranoc. Kind of Blue. Miles Davis - So What (Official Audio)  przez,Lis
Obama z pasją przeciw Trumpowi i za Kamalą.Obama. unloading on the loathsome piece of shit. 🔥🔥🔥🔥🔥👇,Lis
Obywatelski kandydat PiS-u jest jak wilk-wegetarianin. Może taki istnieje. ale nikt go nie widział.,Lis
To jest wyższy poziom kpiny. 😉😂,Lis
Oni wszyscy są tacy sami.Hakim Ziyech. a Moroccan-Dutch professional football player who plays for the Morocco national team. celebrated on his Instagram story the lynching of a Muslim mob against Jews in Amsterdam.,Lis
Dziękujemy za Dudę.,Lis
Nic. To zwykły matoł.,Lis
Największy problem z tymi prawyborami w KO polega na tym. że dwaj najlepsi kandydaci powinni się zmierzyć w finale wyborów. a nie prawyborów. Niestety. dwóch wystawić nie można.,Lis
Tylko który to?,Lis
Ci z partii Holowni chcą żeby KO poparła w wyborach Holownię. bo on chce być prezydentem. Pocieszne towarzystwo. Niech chłopak walczy.,Lis
Jeśli Holownia i Kosiniak chcą wspólnego kandydata koalicji na prezydenta. to nikt nie zabrania im poprzeć mającego miażdżąco większe szanse niż Holownia kandydata KO. W ten sposób ich postulat da się łatwo zrealizować.,Lis
Zamiast God bless America jest God cursed America.,Lis
To jest ładne.Girl dads unite. #BlueWave2024,Lis
Zobaczyliśmy w ostatnich tygodniach i dziś politykę w najlepszym możliwym wydaniu. Twarda walka. szacunek dla rywala. klasa. W tym sensie wygraliśmy wszyscy.,Lis
Jest i sondaż dla ultraentuzjastów Kamali. Ale wiarę w te procenty odradzam.#New General election poll   🔵 Harris 52% (+7) 🔴 Trump 45%  Last poll - 🔵 Harris +4  Big village #C - 1592 LV - 10/23,Lis
Będzie płacz i zgrzytanie zębów. napisano w ewangelii Mateusza. U zwolenników  demokratów jest dziś. u innych będzie wkrótce.,Lis
Syn Marcelo z piłkarzami Realu. 😉El hijo de Marcelo con los jugadores del Real Madrid. Video histórico 😂🤍,Lis
To jest architektoniczne cacko. Skansen sztuki nienowoczesnej.,Lis
Czy Kaczyński uznał. że alfons to upgrade po debilu?,Lis
Putin pogratulował Trumpowi. O gratulacjach złożonych sobie skromnie nie wspomniał.,Lis
Ameryka przetrwa jak długo będzie umiała się śmiać.OMG THEY DID IT! Trump jacked off the microphone on SNL!!🤣🤣,Lis
Czyli będzie kandydat niezależny Nawrocki i kandydat niezależny Holownia. Możecie sobie wybrać niezależnego od episkopatu katolika.,Lis
Można. ale nie trzeba,Lis
Bardzo wzruszyło mnie oświadczenie koalicjanta. że zwycięstwo Trumpa zwiększa rolę PSL-u. Akurat to specjaliści od roli. więc może wiedzą co mówią.,Lis
Gorąco życzę Kamali wygranej. ale ma dość silne poczucie. że dla Ameryki jaką znam. ona jest zbyt lewicowa. Jej głównym atutem jest Trump. ale to może nie wystarczyc.,Lis
Uważam. że to szczere i zasługujące na pewne uznanie. że działacze PiS i KonfedeRussia tak gorliwie popierają w amerykańskich wyborach kandydata swojego Putina.,Lis
Ponieważ jestem słaby w tracenie nadziei. to nie mając oczywiście pewności kto wygra. niezmiennie wierzę. że jutro Ameryka da światu dobrą wiadomość i pierwszą madame President. ✌️🇺🇸🗽,Lis
Napisałem tu 2 tygodnie temu. że jedynym sensownym i logicznym kandydatem PiS na prezydenta jest Czarnek. Nie mówię. że byłby dobrym prezydentem. ale dobrym kandydatem takiej partii i takiego elektoratu tak. Poza tym Czarnek jest znacznie mądrzejszy niż się po naszej stronie mówi,Lis
Demokraci bardzo chcieli mieć prezydentkę. czarnoskórą kobietę. Nic trudnego. Jeśli Biden dziś lub jutro złoży urząd. to będą ją mieli ponad dwa miesiące.,Lis
I to jest ważna informacja.Administracja Joe Bidena pozwoliła #Ukraina atakować cele w głębi #Rosja przy użyciu broni dostarczanej przez #USA. na co dotychczas Waszyngton się nie zgadzał - podaje Reuters powołując się na trzy źródła  https://rp.pl/konflikty-zbrojne/art41461191-nieoficjalnie-usa-pozwolily-ukrainie-atakowac-cele-w-glebi-rosji-amerykanska-bronia…,Lis
Szalony Antek robi jedyną rzecz. którą w obliczu miażdżących faktów może robić. Idzie w zaparte.,Lis
Kilka razy pytałem o Macierewicza Adama Michnika. Ocenia go bardzo krytycznie. ale nie wierzy w jego agenturalność. Co do orderu orła białego Adam wielkodusznie mówi. że za KOR order się Macierewiczowi należał. Świadectwo ważne. bo jeszcze w  czasach KOR obaj ze sobą ostro,Lis
Bez kasy. fabryki Kurskiego. wałków w DPS i machlojek z głosami Polonii. łatwo im nie będzie.,Lis
Po tobie sprzątnę. Ban.,Lis
Sawicki powiedział. że nie będzie głosował na Trzaskowskiego. To jest jak całkiem dobra rekomendacja. Inni PiS-owcy też nie,Lis
Nie wiem co się stało w Smoleńsku. nie mówię. że był zamach. ale mam wątpliwości- ta PiS-owska śpiewka rozbrzmiewa już kilkanaście lat. Cóż. czyż wątpliwości nie są cechą krytycznego rozumu? W tym wypadku nie. To cwaniactwo. oportunizm i obłaskawianie smoleńskich płaskoziemców,Lis
Człowiekiem tygodnia jest wg mnie minister Cezary Tomczyk. który po wielu miesiącach pracy. de facto unicestwił kłamstwo smoleńskie. z premedytacją i perfidią niszczące nasze życie publiczne. Brawo.  💪👏👏👏,Lis
Ta biedaczyna nawet nie ukrywa dla kogo pracuje i komu służy.Zupełnie nie rozumiem tego. że spora część Polaków nie czuje się zaniepokojona tym. że mamy atakować mocarstwo atomowe.   Bo to. że nie niepokoi to Sikorskiego to rozumiem. W razie czego w chwilę będzie w Nowym Jorku z żoną i dziećmi.   Ale my tu będziemy musieli zostać.,Lis
Radek Sikorski pokazał dziś jak się popiera rywala. Dokładne przeciwieństwo tego co widzieliśmy po pierwszej turze wyborów. 4 lata temu. Patriotyzm i klasa. Tyle.💪🇵🇱,Lis
Warchoł: fuck off. jeśli już w językach obcych,Lis
Demokracja jest jak dają miliardy na telewizję Kurskiego. żeby robiła im od świru do nocy klakę i gnoiła ich konkurentów. Skończyło się. łachudry.,Lis
Zamrożenie cen energii nie musi mieć uzasadnienia ekonomicznego. ale w kontekście wyborów może mieć znaczenie fundamentalne.,Lis
Lech Kaczyński jako prezydent Warszawy nie musiał  kandydując brać urlopu. a Rafał Trzaskowski jako prezydent Warszawy kandydując powinien wziąć urlop. Tako rzecze PiS-owski Kali.,Lis
Jak pokonać kandydata PiS:moje rady i sugestie.  TOMASZ LIS KOMENTARZ 25.11.2024  przez,Lis
Świetny napastnik. potrafił strzelić wszystkim czym było trzeba. RIP.Po długiej walce z chorobą. w wieku 62 lat. zmarł Jan Furtok – poinformował GKS Katowice.,Lis
Podoba mi się humorystyczny element tej kampanii - sposób w jaki. z lekkością i wdziękiem. R.T. robi głupków z próbujących go nieudolnie szarpać za nogawki PiS-owskich media-szczujów.Z Trzaska to jest przekozak😂😂😂 #Trzaskowski2025,Lis
Śledzenie prezydenckich sondaży w Ameryce jest teraz jak śledzenie długiej wymiany w tenisie. Piłka lata w te i we wte. a za cholerę nie można przewidzieć kto wygra i zdobędzie  punkt.,Lis
Bardzo mnie cieszy rozwiązanie wszystkich problemów przez Stał Gorzów. To świetny klub. a Falubaz potrzebuje Stali( i odwrotnie✌️).,Lis
I tak to ma wyglądać: wśród zwykłych ludzi. by niedługo im wszystkim służyć. Swojska atmosfera. swój chłop.Kandydat w terenie na spotkaniu z Kołami Gospodyń Wiejskich w województwie świętokrzyskim.,Lis
Nadchodzi chyba moment. gdy Holownia będzie musiał zdecydować czy jest w koalicji czy w opozycji. Odstawiać bez końca pajacyka się nie da.  Cyrk niezależnych | TOMASZ LIS KOMENTARZ 27.11.2024  przez,Lis
Kiedyś obcy wywiad musiał werbować szpiegów. Teraz prezydent -marionetka obcego państwa mianuje ma szefa wywiadu agenta tego państwo. To może zniszczyć kraj i odebrac sens powieściom szpiegowskim. Make Russia Great Again.,Lis
Co to za nonsensy?,Lis
Okładka w punkt.🎯🗽Mocne.,Lis
Gdyby nie Vini. to powinien wygrać Carvajal. Wygrał to co Rodri plus Ligę Mistrzów. ale jest z Realu. wiec był bez szans. I tak dziwne. że Messiemu nie dali.,Lis
Na razie minister sportu nie gra w reprezentacji i nie ma nic wspólnego z PZPN.,Lis
Ciekawe komu teraz będą kibicować medialne sieroty po Razem z okolic tok FM i,Lis
Gość jest beznajdziejny i do tego niemądry,Lis
Podobno. tak mówią ludzie z otoczenia Trumpa. w wyborze członków jego gabinetu obowiązuje jedno kryterium: nie bierzemy nikogo kto uważa. że jest mądrzejszy niż Trump. I wyglada na to. że dotyczasowi wybrańcy. to. przyznajmy. niebyt wygórowane kryterium. spełniają. Freak show.,Lis
14 lat temu przebieglem maraton z Maratonu do Aten. O pokonywaniu tej momentami morderczej trasy. Haruki Murakami napisał świetną książkę  O czym mówię kiedy mówię o bieganiu.,Lis
Gdy 34 lata temu zaczynałem pracować w Wiadomościach. pracowaliśmy razem w senacie a potem w sejmie. Wulkan energii. zawsze uśmiechnięta. RIP. 💔🥲,Lis
86 rocznica Kristallnacht. Echa antysemityzmu niestety wróciły.  Różnica polega na tym. że dziś Żydzi mają własne państwo. a Niemcy spośród europejskich państw prowadzą wobec niego najbardziej racjonalną politykę.  ✡️🕎🇮🇱,Lis
Dream team. 🤷‍♂️🙊🙈🙉🚑,Lis
Trochę zazdroszczę Dudzie tej imprezy u Trumpa.  Jest na niej mój idol. najlepszy hokeista wszechczasów. Wayne Gretzky.,Lis
Debil. kandydat Putina i idol półgłówków.Wow wtf is he doing,Lis
Ci plażowicze powinni być wdzięczni. że żyją.Hamas terrorists have surrendered in Jabaliya.  They know what the other option is.,Lis
Wszystko jest Ok. tylko ta domyślna wiktymizacja mężczyzn nie na miejscu.,Lis
Amerykanów bardziej niż cena wyboru oszusta. kłamcy i marionetki Putina. interesują ceny w spożywczaku i rachunki za benzynę i ogrzewanie. Może to się nie podobać. ale to całkiem racjonalne. Czy jest nam lepiej niż 4 lata temu? Nie. No to głosujemy na zmianę.,Lis
Z dobrych informacji. za kilka dni do gry wraca Iga!,Lis
Holownia mówi żeby pozwolić mu robić w pałacu prezydenckim to co w sejmie. Czyli tam też chce bronić PiS-owców i paraliżować rozliczenia. To może zostawmy sobie na trzecią kadencje Dudę.,Lis
Wg Błaszczaka w razie wygranej Trumpa. Tusk powinie podać się do dymisji. I taki pospolity dureń jeszcze niedawno był ministrem obrony.,Lis
PiS to nie partia. ale nowotwór. który prawie zniszczył  Polskę. Fundamentalnym obowiązkiem  demokratycznego państwa polskiego. jest oczyszczenie państwa ze wszystkich komórek rakowych. Bez litości i wahania.  Jak ostatecznie pokonać PiS? | TOMASZ LIS KOMENTARZ 30.10.2024,Lis
Dzisiejsza rozebranie do naga smoleńskiego kłamstwa w okołosmoleńskich działaniach Kaczyńskiego nic nie zmieni. Cynizm. nihilizm i perfidia nie przejmują się prawdą. Największe kłamstwo w historii Polski | TOMASZ LIS KOMENTARZ 24.10.2024  przez,Lis
Już trochę . sorry. jest Pan męczący z tą natrętną agitacją. Oczywiście to Pana prawo. ale na tym etapie swemu faworytowi już tylko Pan szkodzi.,Lis
Pełna zgoda z każdym zdaniem.,Lis
Bardzo ciekawe w jakim nastroju świat będzie za tydzień o tej porze. Czy w lepszych nastrojach będą demokraci czy Putinowie. Orbanowie  i Kaczyńscy tego świata,Lis
Trwający wyścig chwalipięt pt.  a ja mówiłem dobrze o Trumpie wydaje mi się groteskowy. Ja mówiłem źle i nie cofam ani słowa.,Lis
Ta wizualizacja stosunku Trumpa do Putina jest szczera i brawurowaWow wtf is he doing,Lis
Jutro. jak w każdą pierwszą niedziele listopada. maraton nowojorski. Na starcie puszczają Sinatrę.  New York. New York. Trudna. ale fantastyczna trasa. Na pierwszej alei setki tysięcy ludzi. To nie doping. To ryk. Raz w życiu musi to przebiec każdy maratończyk.,Lis
Ona od lat pisze o wymyślonych przez PiS-owców konfliktach i sporach w KO. Taki odcinek jej wyznaczono. Jej informacje mają jedną cechę wspólną. Nie potwierdzają się nigdy.,Lis
First we take Iowa. then all America.,Lis
Najbardziej  niezależne były te teksty po 200 złotych za sztukę. które podobno redagowała Kotecka( dementi jeszcze nie było).,Lis
Tak jak 8 lat temu nie zaszkodziło mu mówienie za co łapie kobiety. tak teraz nie zaszkodzilo mu robienie dobrze mikrofonowi. Niewykluczone. że nawet pomogło. Taki swój chłop. szczery i bezpośredni.,Lis
Parafrazując klasyka: Premier Tusk. prezydent Trzaskowski. szef dyplomacji Sikorski. Dla mnie takie trio to byłaby petarda.,Lis
Obserwacja słuszna. ale polityka nie zawsze idzie pod rękę z logiką. Tym bardziej uczucia.,Lis
Dziękujemy za walkę. ambicję oraz awans do półfinału. Następnym razem będzie jeszcze lepiej.💪🇵🇱👠✌️,Lis
Najbardziej błyskotliwy teraz komentator w kwestiach bliskowschodnich.Bill Maher invited Douglas Murray to destroy the pro-Palestinian useful idiots who freak out every time Jews win the wars that Muslim terrorists start.  Do you agree with every single word he says? Yes or No?,Lis
Podoba mi się ta konstrukcja: obywatelski kandydat zatwierdzony przez władze PiS.  😂😂😂🚑,Lis
Jeśli utrzyma się demokratyczny  niebieski mur. czyli Wisconsin. Michigan i Pensylwania. to w środę prezydentem- elektem będzie Kamala Harris. Jeśli runie choć fragment tego muru. elektem będzie Trump.,Lis
W oczach PiS-owskiego elektoratu nawet taki delikwent jak Nawrocki ma wielką zaletę- jest nasz a nie ich. Jak nie zna języków. tym lepiej. to tak jak my. Jak nawet toasty wygłasza tylko z kartki. tym lepiej- to tak jak my. Za tę naszość  ma na dzień dobry 30 procent.,Lis
Na pewno nie tyle co ty. kolego. Nie każdy może być taki mądry jak Ty.,Lis
Lepiej nie robić sobie złudzeń o zwycięstwie w pierwszej turze. To teoretycznie jest możliwe. ale graniczyłoby z cudem. Liczenie na cud nie jest rozsądne.,Lis
Co łączy Kaczyńskiego i Trumpa? Odpowiada Tomasz Lis u Jacka Pałasińskiego |,Lis
Epatowanie doktoratem Nawrockiego( bo jest on oczywiście lepszy niż doktorat Trzaskowskiego😉)jest średnio sensowne. Polska już ma gościa z doktoratem w pałacu. Już wiemy. że nie gwarantuje to absolutnie niczego.,Lis
Spokojnie. już mi kilka namalowali. Mogę mieć następne. 😉😂,Lis
12 lat temu było strasznie dużo krzyku. że to nie fair. Przeklęci. którzy widzą i mówią prawdę za wcześnie.🤷‍♂️,Lis
